,annual_kwh_per_home
Heating,4396.34164554412
Cooling,2516.677008492567
Plug Loads,2366.646120202514
Hot Water,1522.3153960476882
Lighting Interior,992.4719557950882
Refrigerator,614.4491702324553
Cooling Fans Pumps,545.0695399314056
Clothes Dryer,429.60211884152613
