timestamp,electric_kw_per_home,electric_kwh_per_home,season,time_of_day
2018-01-01 00:15:00,0.8741110967343152,0.2185277741835788,Winter,00:15
2018-01-01 00:30:00,0.868538355924424,0.217134588981106,Winter,00:30
2018-01-01 00:45:00,0.852339794040658,0.2130849485101645,Winter,00:45
2018-01-01 01:00:00,0.8422476032149075,0.2105619008037269,Winter,01:00
2018-01-01 01:15:00,0.7588015576132071,0.18970038940330178,Winter,01:15
2018-01-01 01:30:00,0.7457412341248821,0.18643530853122053,Winter,01:30
2018-01-01 01:45:00,0.7261882275372393,0.18154705688430983,Winter,01:45
2018-01-01 02:00:00,0.7207819103593296,0.1801954775898324,Winter,02:00
2018-01-01 02:15:00,0.6388628609978342,0.15971571524945855,Winter,02:15
2018-01-01 02:30:00,0.6344238917424975,0.15860597293562437,Winter,02:30
2018-01-01 02:45:00,0.6307472022533658,0.15768680056334144,Winter,02:45
2018-01-01 03:00:00,0.6357149033199965,0.15892872582999912,Winter,03:00
2018-01-01 03:15:00,0.4526217735863212,0.1131554433965803,Winter,03:15
2018-01-01 03:30:00,0.4635789487606614,0.11589473719016535,Winter,03:30
2018-01-01 03:45:00,0.4705246051867448,0.1176311512966862,Winter,03:45
2018-01-01 04:00:00,0.4756386323997453,0.11890965809993632,Winter,04:00
2018-01-01 04:15:00,0.4781696061363464,0.1195424015340866,Winter,04:15
2018-01-01 04:30:00,0.48135265035889474,0.12033816258972369,Winter,04:30
2018-01-01 04:45:00,0.48536903193913056,0.12134225798478264,Winter,04:45
2018-01-01 05:00:00,0.4842695222043129,0.12106738055107823,Winter,05:00
2018-01-01 05:15:00,0.4860646378279871,0.12151615945699677,Winter,05:15
2018-01-01 05:30:00,0.4902648647120251,0.12256621617800627,Winter,05:30
2018-01-01 05:45:00,0.5042513036054955,0.12606282590137388,Winter,05:45
2018-01-01 06:00:00,0.5134875236438211,0.12837188091095528,Winter,06:00
2018-01-01 06:15:00,0.5259803190574797,0.13149507976436992,Winter,06:15
2018-01-01 06:30:00,0.5308901225957302,0.13272253064893255,Winter,06:30
2018-01-01 06:45:00,0.5393864890788761,0.13484662226971902,Winter,06:45
2018-01-01 07:00:00,0.5500922560602902,0.13752306401507255,Winter,07:00
2018-01-01 07:15:00,0.5815406609370466,0.14538516523426165,Winter,07:15
2018-01-01 07:30:00,0.591247741409315,0.14781193535232875,Winter,07:30
2018-01-01 07:45:00,0.6040553582069376,0.1510138395517344,Winter,07:45
2018-01-01 08:00:00,0.6153488010661073,0.15383720026652684,Winter,08:00
2018-01-01 08:15:00,0.6645780638074756,0.1661445159518689,Winter,08:15
2018-01-01 08:30:00,0.6749366363057344,0.1687341590764336,Winter,08:30
2018-01-01 08:45:00,0.6946434180051568,0.1736608545012892,Winter,08:45
