,annual_kwh_per_home
Cooling.Energy Consumption,2602.6064975793315
Plug Loads.Energy Consumption,2147.9987161588933
Interior Lighting.Energy Consumption,797.7585802380567
Fans Cooling.Energy Consumption,754.6447411932295
Refrigerator.Energy Consumption,480.17498276350426
Pool Pump.Energy Consumption,260.27408619998033
Heating.Energy Consumption,222.3863733808839
Water Systems.Energy Consumption,218.9519596203471
