,annual_kwh_per_home
Plug Loads.Energy Consumption,2050.5135135324704
Cooling.Energy Consumption,1351.416841264289
Interior Lighting.Energy Consumption,763.9817563575486
Heating.Energy Consumption,513.1170391272453
Refrigerator.Energy Consumption,477.412729363237
Fans Cooling.Energy Consumption,405.6967896712344
Clothes Dryer.Energy Consumption,394.19724832250245
Water Systems.Energy Consumption,342.12675334742477
