timestamp,electric_kw_per_home,electric_kwh_per_home,season,time_of_day
2018-01-01 00:15:00,1.6271503696288505,0.40678759240721263,Winter,00:15
2018-01-01 00:30:00,1.672288959606093,0.41807223990152326,Winter,00:30
2018-01-01 00:45:00,1.70425335714468,0.42606333928617,Winter,00:45
2018-01-01 01:00:00,1.73098961231894,0.432747403079735,Winter,01:00
2018-01-01 01:15:00,1.7093641339118633,0.4273410334779658,Winter,01:15
2018-01-01 01:30:00,1.7124010898116528,0.4281002724529132,Winter,01:30
2018-01-01 01:45:00,1.7058301479609737,0.4264575369902434,Winter,01:45
2018-01-01 02:00:00,1.7109356344853492,0.4277339086213373,Winter,02:00
2018-01-01 02:15:00,1.7030053760882078,0.42575134402205195,Winter,02:15
2018-01-01 02:30:00,1.7011446661254548,0.4252861665313637,Winter,02:30
2018-01-01 02:45:00,1.7044617776260453,0.42611544440651133,Winter,02:45
2018-01-01 03:00:00,1.707228897901726,0.4268072244754315,Winter,03:00
2018-01-01 03:15:00,1.7085818103035733,0.4271454525758933,Winter,03:15
2018-01-01 03:30:00,1.7139610506480936,0.4284902626620234,Winter,03:30
2018-01-01 03:45:00,1.7189739641009767,0.4297434910252442,Winter,03:45
2018-01-01 04:00:00,1.7337285939918292,0.4334321484979573,Winter,04:00
2018-01-01 04:15:00,1.7540135733271451,0.4385033933317863,Winter,04:15
2018-01-01 04:30:00,1.7637356659659476,0.4409339164914869,Winter,04:30
2018-01-01 04:45:00,1.7759758060509843,0.44399395151274607,Winter,04:45
2018-01-01 05:00:00,1.7914428138522152,0.4478607034630538,Winter,05:00
2018-01-01 05:15:00,1.8229621746785898,0.45574054366964745,Winter,05:15
2018-01-01 05:30:00,1.8457480205677812,0.4614370051419453,Winter,05:30
2018-01-01 05:45:00,1.8664169418057213,0.4666042354514303,Winter,05:45
2018-01-01 06:00:00,1.894855170030783,0.47371379250769574,Winter,06:00
2018-01-01 06:15:00,1.9782179411527803,0.49455448528819507,Winter,06:15
2018-01-01 06:30:00,1.986099180329413,0.49652479508235325,Winter,06:30
2018-01-01 06:45:00,2.0089093885498257,0.5022273471374564,Winter,06:45
2018-01-01 07:00:00,2.0031443485597045,0.5007860871399261,Winter,07:00
2018-01-01 07:15:00,2.0919925811833426,0.5229981452958357,Winter,07:15
