,annual_kwh_per_home
Plug Loads.Energy Consumption,2126.165026044358
Heating.Energy Consumption,1499.0122236932775
Cooling.Energy Consumption,1274.7600165718845
Interior Lighting.Energy Consumption,940.1286983633343
Water Systems.Energy Consumption,624.6773534886061
Refrigerator.Energy Consumption,478.0739794292999
Clothes Dryer.Energy Consumption,371.3767164555327
Fans Heating.Energy Consumption,356.94377770292107
