,represented_units,share
Single-Family Detached,366828.465,0.6527358897027145
Multi-Family with 5+ Units,107506.164,0.19129685480396383
Multi-Family with 2 - 4 Units,39225.222,0.06979750107712193
Single-Family Attached,34624.733,0.06161137440758294
Mobile Home,13801.467,0.024558380008616976
