,annual_kwh_per_home
Plug Loads.Energy Consumption,2138.946473021462
Cooling.Energy Consumption,1869.799234929772
Heating.Energy Consumption,1287.4848750910915
Interior Lighting.Energy Consumption,807.8727067468122
Fans Cooling.Energy Consumption,523.9256199365865
Refrigerator.Energy Consumption,478.7848564041776
Clothes Dryer.Energy Consumption,429.72733359191295
Water Systems.Energy Consumption,300.9097192849102
