timestamp,electric_kw_per_home,electric_kwh_per_home,season,time_of_day
2018-01-01 00:15:00,1.5684765193843446,0.39211912984608616,Winter,00:15
2018-01-01 00:30:00,1.5740256431721444,0.3935064107930361,Winter,00:30
2018-01-01 00:45:00,1.5741726242903376,0.3935431560725844,Winter,00:45
2018-01-01 01:00:00,1.584233269102135,0.39605831727553376,Winter,01:00
2018-01-01 01:15:00,2.963941456782788,0.740985364195697,Winter,01:15
2018-01-01 01:30:00,3.096865043770256,0.774216260942564,Winter,01:30
2018-01-01 01:45:00,3.1957747957772984,0.7989436989443246,Winter,01:45
2018-01-01 02:00:00,3.2655853599005273,0.8163963399751318,Winter,02:00
2018-01-01 02:15:00,3.243787688250699,0.8109469220626747,Winter,02:15
2018-01-01 02:30:00,3.279963693601817,0.8199909234004542,Winter,02:30
2018-01-01 02:45:00,3.311697407862138,0.8279243519655345,Winter,02:45
2018-01-01 03:00:00,3.345027412846558,0.8362568532116395,Winter,03:00
2018-01-01 03:15:00,3.3940880434456506,0.8485220108614127,Winter,03:15
2018-01-01 03:30:00,3.436266524179359,0.8590666310448397,Winter,03:30
2018-01-01 03:45:00,3.467962949750004,0.866990737437501,Winter,03:45
2018-01-01 04:00:00,3.5025219356475352,0.8756304839118838,Winter,04:00
2018-01-01 04:15:00,3.5485229402298017,0.8871307350574504,Winter,04:15
2018-01-01 04:30:00,3.5869660484129446,0.8967415121032362,Winter,04:30
2018-01-01 04:45:00,3.6194305753448983,0.9048576438362246,Winter,04:45
2018-01-01 05:00:00,3.660966914220463,0.9152417285551158,Winter,05:00
2018-01-01 05:15:00,3.7461143508917494,0.9365285877229373,Winter,05:15
2018-01-01 05:30:00,3.7877605085288675,0.9469401271322169,Winter,05:30
2018-01-01 05:45:00,3.829139509646122,0.9572848774115305,Winter,05:45
2018-01-01 06:00:00,3.8705509719019044,0.9676377429754761,Winter,06:00
2018-01-01 06:15:00,3.970397942911956,0.992599485727989,Winter,06:15
2018-01-01 06:30:00,4.035033742263085,1.0087584355657713,Winter,06:30
