,annual_kwh_per_home
Cooling.Energy Consumption,4632.870428362979
Plug Loads.Energy Consumption,2554.438748529554
Heating.Energy Consumption,2107.409066528938
Fans Cooling.Energy Consumption,1193.8593041434544
Water Systems.Energy Consumption,1190.617020723936
Interior Lighting.Energy Consumption,1083.9050315887782
Clothes Dryer.Energy Consumption,506.7337025770844
Refrigerator.Energy Consumption,480.8370492560007
